CD_SETOR,vol
130260305000159,69
130260305100129,138
130260305120387,138
150080005000713,138
150080005000729,69
150140245000268,138
150300205000020,69
150420805000260,69
160060005000070,69
211130005001295,69
211223305000009,69
230370905000052,69
230370905000086,69
230370905000185,69
230370905000324,69
230370917000003,69
230370917000180,69
230370917000247,69
230428505000130,138
230428505000144,69
230440005130003,69
230440005130008,69
230440005130037,138
230440005130055,69
230440005130056,69
230440005130059,138
230440005130072,138
230440005140033,138
230440005140046,69
230440005140072,207
230440005140095,69
230440005140121,69
230440005140156,69
230440005140284,69
230440005140291,69
230440005140462,69
230440005150007,69
230440005150071,69
230440005150072,69
230440005150108,138
230440005150236,69
230440005150305,69
230440005150439,69
230440005160044,69
230440005160078,69
230440005160079,138
230440005160153,69
230440005160256,138
230440005160277,69
230440005160286,69
230440005160292,69
230440005170001,69
230440005170025,345
230440005170029,69
230440005170050,69
230440005170067,69
230440005170107,69
230440005170118,69
230440005170192,69
230440005180153,69
230440005180209,69
230440005180216,207
230440005180369,69
230440005180383,69
230440005180504,138
230440005200253,138
230440005200399,69
230440005210033,69
230440005210034,69
230440005210137,138
230440005210262,207
230440005220010,207
230440005220030,69
230440005220046,69
230440005220189,69
230440005220219,69
230440005220277,69
230440005220343,69
230440005220344,69
230440005220349,138
230440005230025,69
230440005230039,69
230440005230051,69
230440005230054,138
230440005230056,69
230440005230086,69
230440005230116,207
230440005230118,207
230440005230119,69
230440005230200,69
230440005230210,207
230440005230240,69
230440005230327,69
230440005230415,69
230440005240037,69
230440005240051,138
230440005240064,69
230440005240086,276
230440005240094,207
230440005240108,69
230440005240130,69
230440005240139,69
230440005240150,138
230440005240155,69
230440005240195,138
230440005240214,69
230440005240216,138
230440005240232,69
230440005240250,69
230440005240263,69
230440005240292,138
230440005240296,69
230690005000025,138
230730405000119,69
230765005000004,138
230765005000022,138
230765005000041,138
230765005000045,69
230765005000090,69
230765005000145,138
230765005000152,138
230765005000203,69
230765005000228,138
230765005000260,69
230765030000016,69
230765030000065,69
230765030000085,138
230960705000160,69
230970635000038,69
231050605000012,69
231310405000031,69
231400305000014,276
240710405000021,69
250750705000036,69
250750705000080,138
250750705000153,69
250750705000263,69
250750705000334,69
250750705000338,69
250750705000552,69
250750705000865,207
250750705000964,138
250750705000974,69
250750705000977,69
250750705000989,69
250750705001046,138
250750705001365,69
250750705001522,69
250750705001679,69
250750705001867,69
250750705002086,69
250750705002092,69
250933905000006,69
260260530000004,69
260280305000087,69
260345405060073,69
260410605000126,207
260410605000171,138
260410605000314,138
260410605000559,138
260410605000646,69
260500405000005,138
260500405000035,207
260500405000036,138
260500405000038,69
260500405000045,276
260500405000057,207
260500405000062,69
260500405000063,69
260790105000056,69
260790105000185,69
260790105000793,207
260960005000233,69
260960005000401,69
260960005000571,69
261000405000068,345
261160605180022,138
261160605180057,138
261160605180086,552
261160605180115,207
261160605190037,69
261160605190065,69
261160605190181,69
261160605190187,69
261160605190201,69
261160605190278,69
261160605190487,69
261160605200564,69
261160605210055,69
261160605210102,69
261160605210482,69
261160605210569,69
261160605220042,69
261160605220256,69
261160605220274,138
261160605220275,759
261160605220363,69
261160605220458,345
261160605220503,138
261160605220555,207
261160605220578,69
261160605230029,69
261160605230046,69
261160605230072,69
261160605230097,69
261160605230221,69
261160605230874,483
261160605230928,69
261220805000035,690
261370105000150,69
261640705000083,69
280030805000001,69
280030805000008,138
280030805000096,69
280030805000097,69
280030805000131,759
280030805000133,138
280030805000145,69
280030805000193,69
280030805000214,138
280030805000434,69
280030805000681,69
280030805000741,69
280030805000774,69
280030805001463,69
280370805000001,69
280480513000001,69
280480518000125,138
280670105000037,690
280760005000004,69
280760005000006,138
290570105000001,207
290570105000052,138
290570105000247,138
290570105000289,69
290570105000338,69
290570105000435,69
290570110000161,207
290960405000016,69
291072705000130,69
291080005060220,69
291080005070189,483
291080005080003,69
291080005080013,69
291080005080038,69
291080005080273,276
291080005080285,69
291080005090030,69
291080005110044,69
291080005110157,207
291080005110242,138
291350705000011,69
291740905000008,138
291840705000192,69
291920705000304,69
291920705000409,69
291920705000461,69
292285405000026,69
292430605000019,69
292740805070088,552
292740805070418,69
292740805090004,69
292740805090023,69
292740805090033,69
292740805090054,69
292740805090091,138
292740805090100,69
292740805090335,69
292740805110020,69
292740805130105,69
292740805150035,138
292740805150188,138
292740805160060,69
292740805180001,69
292740805180025,138
292740805180254,138
292740805180676,138
292740805210015,69
292740805210255,69
292740805220283,138
292740805220341,138
292740805220797,69
292740805230030,138
292740805230121,138
292740805230128,138
292740805230155,69
292740805240001,69
292740805250002,69
292740805270300,69
293190505000007,69
310160705000005,69
310160705000133,69
310160705000181,69
310160705000198,69
310260505000129,69
310390005000001,138
310390005000002,276
310390005000006,69
310390005000013,138
310390005000018,69
310390005000020,345
310390005000027,138
310390005000039,138
310390005000040,69
310390005000042,69
310420505000011,69
310420505000062,69
310420505000071,69
310420505000109,69
310490805000002,69
310490805000005,69
310490805000007,69
310490805000012,552
310490805000015,69
310490805000017,69
310490805000034,207
310490805000042,138
310490805000043,69
310490805000044,138
310490805000045,138
310490805000053,138
310490805000054,345
310490805000055,138
310490805000058,69
310560805000023,69
310620005620183,207
310620005620234,69
310620005620251,69
310620005620282,69
310620005620286,69
310620005620330,966
310620005620331,276
310620005620424,69
310620005620710,69
310620005620751,69
310620005620778,138
310620005620803,69
310620005620808,138
310620005630047,69
310620005630166,69
310620005630177,69
310620005630205,69
310620005630231,69
310620005630345,69
310620005630367,138
310620005630386,69
310620005640017,69
310620005640050,69
310620005640112,69
310620005640117,69
310620005640151,69
310620005640183,1587
310620005640227,138
310620005640260,345
310620005640286,69
310620005650031,138
310620005650059,69
310620005650143,138
310620005650246,69
310620005650254,69
310620005650378,69
310620005650390,69
310620005650477,69
310620005650572,207
310620005650581,69
310620005650611,69
310620005650647,138
310620005650665,69
310620005650696,69
310620005670157,69
310620005670188,69
310620005670196,69
310620005670211,69
310620005670243,69
310620005670258,69
310620005670296,138
310620005670389,69
310620005670395,69
310620005670506,276
310620005670510,69
310620005670516,69
310620005670529,69
310620005670545,69
310620005670597,69
310620005670599,69
310620005670622,69
310620005670680,69
310620005670708,138
310620005670749,207
310620005670760,69
310620005670839,69
310620005670842,483
310620005680079,69
310620005680084,69
310620005680109,69
310620005680132,138
310620005680150,138
310620005680286,69
310620005680358,69
310620005680414,138
310620005680461,138
310620005680497,69
310620005690007,759
310620005690008,483
310620025610013,207
310620025610137,69
310620025610149,69
310620025610248,621
310620025610371,69
310620025610572,69
310620025610597,69
310620025610610,69
310620025610625,69
310620025610627,138
310620025610634,69
310620060640153,69
310620060640215,69
310620060640218,69
310620060640398,69
310620060660023,69
310620060660065,69
310620060660087,69
310620060660093,69
310620060660139,69
310620060660151,69
310620060660159,345
310620060660163,138
310620060660182,69
310620060660271,138
310620060660340,69
310620060660355,69
310620060660423,69
310620060660440,69
310620060680095,276
310620060690024,69
310620060690038,69
310620060690058,69
310620060690064,69
310620060690150,69
310620060690152,69
310620060690174,69
310620060690248,138
310620060690331,69
310620060690334,207
310620060690337,69
310620060690350,138
310620060690413,69
310620060690463,69
310620060690488,138
310620060690493,69
310620060690563,69
310670505010139,69
310670505020059,69
310670505030166,69
310670505030201,69
310670505030221,69
310670505030263,69
310670505050128,69
310670505050140,69
310670505050180,69
310670505070024,345
310740605000002,69
310740605000112,69
310780205000003,345
310830505000016,207
310830505000019,1587
310830505000027,207
310830505000029,345
310830505000031,69
310830505000032,207
310830505000034,69
310830505000041,69
310830505000042,207
310830505000044,138
310830505000045,138
310830510000004,69
310830510000005,69
311000405000065,69
311050905000017,138
311050905000019,69
311050905000054,69
311050905000056,69
311060805000014,69
311060805000049,138
311120005000037,69
311120005000068,414
311120005000122,69
311130905000001,1311
311130905000002,276
311130905000003,69
311130905000004,483
311130905000005,621
311130905000006,69
311130905000007,897
311130905000008,69
311130905000012,276
311130905000017,138
311130905000018,621
311130905000019,759
311130905000020,690
311130905000021,483
311130905000022,483
311130905000023,690
311130905000025,207
311130905000030,483
311130905000031,69
311130905000032,69
311130905000042,276
311160605000016,69
311160605000051,138
311160605000076,69
311220805000001,69
311530005000106,207
311530005000121,69
311640705000009,138
311660505000005,138
311660505000008,69
311660505000085,69
311660505000088,69
311660505000097,138
311830405000199,69
311830405000224,69
311860105120002,69
311860105120028,1242
311860105130011,138
311860105130024,69
311860105130037,69
311860105130046,69
311860105140005,345
311860105140030,138
311860105150035,69
311860105160028,138
311860105200030,69
311860105210004,138
311860105210011,69
311860105210025,276
311860105210043,138
311860105210083,345
311860105210092,414
311860105230005,69
311860105230039,69
311860105240001,69
311860105260008,138
311860105260058,69
311860105260084,69
311860110020031,69
311860110030076,69
311860110050003,138
311860110050006,138
311860110050007,69
311860110060010,69
311860110080032,69
311860110080045,138
311860110090051,69
311860110090056,69
311860110110029,69
311860110110039,621
311880905000002,207
311940110000011,69
311940110000092,69
312230605000007,69
312230605000025,69
312230605000047,69
312230605000057,69
312230605000058,69
312230605000073,69
312230605000076,69
312230605000080,138
312230605000098,69
312230605000109,69
312230605000133,69
312230605000134,207
312230605000143,69
312230605000144,69
312230605000180,69
312230605000190,69
312230605000197,69
312230605000221,69
312230605000245,69
312230605000262,138
312230605000291,69
312230605000326,138
312230605000341,759
312230605000355,69
312230605000387,138
312230605000481,69
312230605000492,69
312230605000506,69
312230605000518,69
312230605000543,69
312230605000587,69
312230605000597,69
312230605000639,69
312230605000641,69
312230605000645,414
312230605000652,69
312300705000002,69
312300705000007,69
312300705000008,69
312300705000009,69
312300705000014,69
312300705000020,69
312300705000021,69
312300705000022,207
312300705000023,69
312400505000006,69
312400505000041,69
312400505000042,69
312400505000061,138
312400505000066,69
312510105000023,207
312510105000032,276
312510105000055,138
312510105000060,138
312510105000074,69
312510105000076,69
